Trafikflöde;;;;;;
Traffic by flight stage;;;;;;
;;;;;;
Antal avresande utrikespassagerare från Swedavias flygplatser, 2025;;;;;;
Number of departing international passengers from Swedavias airports during 2025;;;;;;
;;;;;;
Land;Stad;Jan-mar;Apr-jun;Jul-sep;Okt-dec;Totalt
Country;City;Jan-Mar;Apr-Jun;Jul-Sep;Oct-Dec;Total
                           ;;;;;;
ALBANIA;Tirana;10 900;16 878;18 356;12 565;58 699
ALBANIA Summa;;10 900;16 878;18 356;12 565;58 699
ALGERIA;Alger;;37;;;37
ALGERIA;BOUFARIK;;;;;
ALGERIA Summa;;;37;;;37
AUSTRIA;Innsbruck;8 410;129;;;8 539
AUSTRIA;LINZ;0;188;;;188
AUSTRIA;Salzburg;8 722;1 037;2 407;3 843;16 009
AUSTRIA;Vienna;29 935;64 113;73 881;46 442;214 371
AUSTRIA Summa;;47 067;65 467;76 288;50 285;239 107
AZERBAIJAN;BAKU/BINA;;0;;;0
AZERBAIJAN Summa;;;0;;;0
BAHRAIN;BAHRAIN;;;;;
BAHRAIN Summa;;;;;;
BELGIUM;Antwerpen;;;4;;4
BELGIUM;Brussels;53 312;68 975;65 150;65 763;253 200
BELGIUM;Kortrijk;;;;;
BELGIUM;Liege;189;;115;0;304
BELGIUM;Oostende Brugge;;;;171;171
BELGIUM Summa;;53 501;68 975;65 269;65 934;253 679
BOSNIA-HERZEGOVINA;Banja Luka;10 623;14 337;11 505;12 098;48 563
BOSNIA-HERZEGOVINA;Mostar;;98;72;;170
BOSNIA-HERZEGOVINA;Sarajevo;4 581;16 314;14 065;10 691;45 651
BOSNIA-HERZEGOVINA;Tuzla;;;;1 118;1 118
BOSNIA-HERZEGOVINA Summa;;15 204;30 749;25 642;23 907;95 502
BULGARIA;Burgas;;3 244;5 331;;8 575
BULGARIA;Sofia;;;0;180;180
BULGARIA;Varna;;;60;;60
BULGARIA Summa;;;3 244;5 391;180;8 815
CANADA;GANDER;;;;;
CANADA;HALIFAX;;;;;
CANADA;Montreal;;;;;
CANADA;Toronto;;3 837;9 861;;13 698
CANADA;Vancouver;;;9;;9
CANADA Summa;;;3 837;9 870;;13 707
CAPE VERDE;Boa Vista;1 921;120;;1 034;3 075
CAPE VERDE;Sal Island;11 232;1 628;;11 036;23 896
CAPE VERDE Summa;;13 153;1 748;;12 070;26 971
CHINA;Beijing;15 846;20 239;23 881;21 076;81 042
CHINA;Shanghai;58;;;;58
CHINA Summa;;15 904;20 239;23 881;21 076;81 100
COLOMBIA;BOGOTA AIRPORT;;;;3;3
COLOMBIA Summa;;;;;3;3
CROATIA;Dubrovnik;181;11 361;17 342;3 188;32 072
CROATIA;PULA;;3 121;7 618;660;11 399
CROATIA;Rijeka;;1 467;3 707;;5 174
CROATIA;Split;;29 082;55 438;2 659;87 179
CROATIA;Zadar;;4 352;7 858;1 034;13 244
CROATIA;Zagreb;6 340;19 042;16 778;10 905;53 065
CROATIA Summa;;6 521;68 425;108 741;18 446;202 133
CYPRUS;Larnaca;2 099;46 888;50 379;19 581;118 947
CYPRUS;Paphos;245;;;;245
CYPRUS Summa;;2 344;46 888;50 379;19 581;119 192
CZECH REPUBLIC;Brno;46;0;;81;127
CZECH REPUBLIC;Ostrava;;;110;;110
CZECH REPUBLIC;Prague;9 200;35 379;30 656;21 688;96 923
CZECH REPUBLIC Summa;;9 246;35 379;30 766;21 769;97 160
DENMARK;Aalborg;62;;;0;62
DENMARK;Aarhus;;;95;;95
DENMARK;Billund;4 563;8 872;7 755;6 680;27 870
DENMARK;Copenhagen;184 235;253 105;237 055;250 529;924 924
DENMARK;Karup;;;;7;7
DENMARK;Roskilde;;;8;0;8
DENMARK;Sönderborg;;;59;;59
DENMARK Summa;;188 860;261 977;244 972;257 216;953 025
DOMINICAN REPUBLIC;Punta Cana;1 594;;;299;1 893
DOMINICAN REPUBLIC Summa;;1 594;;;299;1 893
EGYPT;Cairo;933;1 147;1 363;517;3 960
EGYPT;Hurghada;19 837;2 362;;21 505;43 704
EGYPT;Sharm el-Sheikh;;;;1 678;1 678
EGYPT Summa;;20 770;3 509;1 363;23 700;49 342
ESTONIA;Tallinn;29 137;47 279;42 338;39 334;158 088
ESTONIA Summa;;29 137;47 279;42 338;39 334;158 088
ETHIOPIA;Addis Ababa;11 595;10 809;11 410;14 839;48 653
ETHIOPIA Summa;;11 595;10 809;11 410;14 839;48 653
FINLAND;Helsinki;133 195;170 842;161 976;169 984;635 997
FINLAND;Ivalo;;;;178;178
FINLAND;Kuopio;;;;71;71
FINLAND;Mariehamn;2 408;2 931;2 738;2 682;10 759
FINLAND;Pori;;;;;
FINLAND;Rovaniemi;105;101;44;181;431
FINLAND;Tampere;;;0;34;34
FINLAND;Turku;5 486;10 177;7 118;8 043;30 824
FINLAND;Vasa;4 302;6 490;7 493;5 250;23 535
FINLAND Summa;;145 496;190 541;179 369;186 423;701 829
FRANCE;ANNECY/MEYTHET;;3;;;3
FRANCE;Basel;180;;;;180
FRANCE;Bastia;;1 385;2 132;42;3 559
FRANCE;Beziers-Vias;;1 475;4 345;;5 820
FRANCE;BIARRITZ;;348;2 686;;3 034
FRANCE;Bordeaux;184;;;;184
FRANCE;Brest;155;;;;155
FRANCE;Cannes;;;;;
FRANCE;CHALONS/VATRY;;;;;
FRANCE;Deauville;;4;;;4
FRANCE;DOLE/TAVAUX;187;;;;187
FRANCE;GRENOBLE;362;;;32;394
FRANCE;HYERE-LE PALVESTRE;;0;4;;4
FRANCE;Lyon;1 926;1 073;2 142;;5 141
FRANCE;Marseille;;1 626;4 526;1 183;7 335
FRANCE;Nice;10 369;44 043;57 287;19 283;130 982
FRANCE;Orleans;;11;;;11
FRANCE;Paris;92 261;105 992;105 852;106 964;411 069
FRANCE;STRASBOURG;;;5;72;77
FRANCE;Toulouse;;12;;;12
FRANCE;VILLACDUBLAY;6;;;;6
FRANCE Summa;;105 630;155 972;178 979;127 576;568 157
GEORGIA;TBILISI;;;46;;46
GEORGIA Summa;;;;46;;46
GERMANY;Aalen-Elchingen;;1;;;1
GERMANY;Berlin;33 890;56 230;55 595;49 507;195 222
GERMANY;Braunschweig;;;0;6;6
GERMANY;Bremen;;;;;
GERMANY;Dortmund;;;1;;1
GERMANY;Düsseldorf;14 671;29 900;33 149;22 433;100 153
GERMANY;Erfurt;35;;;;35
GERMANY;Frankfurt;85 176;118 974;126 625;111 449;442 224
GERMANY;Hamburg;11 473;21 871;24 159;18 128;75 631
GERMANY;Hannover;61;1 917;3 200;2;5 180
GERMANY;Ingolstadt;;;;168;168
GERMANY;Karlsruhe;4 313;4 598;4 702;5 362;18 975
GERMANY;Köln;4 569;8 664;10 403;7 499;31 135
GERMANY;München;78 259;103 349;108 406;97 049;387 063
GERMANY;Münster;97;3;;;100
GERMANY;NÜRNBERG;;4;;;4
GERMANY;Oberpfafenhofen;;;;1;1
GERMANY;Stuttgart;1 265;4 582;5 284;2 404;13 535
GERMANY Summa;;233 809;350 093;371 524;314 008;1 269 434
GREAT BRITAIN;Belfast;;;;;
GREAT BRITAIN;Birmingham;110;6 648;6 344;1 161;14 263
GREAT BRITAIN;Bristol;;;6;;6
GREAT BRITAIN;Cambridge;258;226;128;244;856
GREAT BRITAIN;Cardiff;;56;10;;66
GREAT BRITAIN;Edinburgh;5 159;22 825;28 629;11 060;67 673
GREAT BRITAIN;Farnborough;;7;11;9;27
GREAT BRITAIN;Glasgow;;;;40;40
GREAT BRITAIN;Inverness;;;0;;0
GREAT BRITAIN;Jersey;;;3;;3
GREAT BRITAIN;Liverpool;;;;9;9
GREAT BRITAIN;London;193 197;217 960;225 288;233 177;869 622
GREAT BRITAIN;Manchester;15 091;23 308;27 460;24 071;89 930
GREAT BRITAIN;Newcastle;1;;;68;69
GREAT BRITAIN;Northolt;;1;;1;2
GREAT BRITAIN;Norwich;;77;;;77
GREAT BRITAIN;Nottingham;;;;132;132
GREAT BRITAIN;Oxford;;;6;0;6
GREAT BRITAIN;Warton;;0;28;;28
GREAT BRITAIN Summa;;213 816;271 108;287 913;269 972;1 042 809
GREECE;Athens;8 735;29 157;36 013;19 390;93 295
GREECE;Chania;;40 806;57 947;10 244;108 997
GREECE;Corfu;;4 303;11 425;2 093;17 821
GREECE;Ioannina;;4 096;6 207;0;10 303
GREECE;Irakleion;;12 345;18 675;4 260;35 280
GREECE;Kalamata;112;903;;530;1 545
GREECE;Karpathos;;2 092;5 064;119;7 275
GREECE;Kavala;;1 441;2 078;;3 519
GREECE;Kos;;7 950;11 999;400;20 349
GREECE;Mykonos;;;9;;9
GREECE;Myrina;;2 241;2 299;336;4 876
GREECE;Mytilene;;717;2 272;176;3 165
GREECE;Preveza;;9 756;16 277;340;26 373
GREECE;Rhodes;;43 583;59 278;11 693;114 554
GREECE;Samos;;6 339;11 575;160;18 074
GREECE;Santorini;;2 236;4 523;0;6 759
GREECE;Skiathos;;3 638;7 045;0;10 683
GREECE;Thessaloniki;4 975;13 650;19 331;13 283;51 239
GREECE;Zakynthos;;5 268;11 964;349;17 581
GREECE;(tom);;;4;;4
GREECE Summa;;13 822;190 521;283 985;63 373;551 701
HUNGARY;Budapest;17 973;36 293;35 796;23 953;114 015
HUNGARY;GYOR;;;50;;50
HUNGARY Summa;;17 973;36 293;35 846;23 953;114 065
ICELAND;Reykjavik;13 572;23 401;33 737;18 716;89 426
ICELAND Summa;;13 572;23 401;33 737;18 716;89 426
INDIA;Mumbai;;;;;
INDIA Summa;;;;;;
IRAQ;BAGDAD;;;95;94;189
IRAQ;SULAYMANIYAH;;;;;
IRAQ Summa;;;;95;94;189
IRISH REPUBLIC;Dublin;13 941;19 887;23 362;23 782;80 972
IRISH REPUBLIC Summa;;13 941;19 887;23 362;23 782;80 972
ISRAEL;Tel Aviv;;;;0;0
ISRAEL Summa;;;;;0;0
ITALY;Alghero;;1 251;2 262;;3 513
ITALY;Bari;;489;1 091;;1 580
ITALY;Bologna;151;4 884;5 374;1 820;12 229
ITALY;BOLZANO;473;;;;473
ITALY;Brindisi;;2 394;6 477;;8 871
ITALY;Cagliari;159;6 098;9 055;2 234;17 546
ITALY;Catania;;5 345;6 651;1 469;13 465
ITALY;Florence;;3 342;1 327;958;5 627
ITALY;GROSSETO;;;2;;2
ITALY;Lamezia Terme;;1 269;2 203;184;3 656
ITALY;Milan;33 714;48 037;50 331;45 018;177 100
ITALY;Neapel;;1 931;3 089;1 028;6 048
ITALY;Olbia;;1 359;3 250;673;5 282
ITALY;Palermo;;3 572;6 837;1 172;11 581
ITALY;Pisa;;14 923;16 479;3 915;35 317
ITALY;Rome;23 597;38 269;39 828;33 641;135 335
ITALY;Salerno;;4;;;4
ITALY;Trieste;;1 447;4 365;1 251;7 063
ITALY;Turin;9 123;5 998;4 180;2 032;21 333
ITALY;Venice;3 810;867;2 186;;6 863
ITALY;Verona;1 144;;;;1 144
ITALY Summa;;72 171;141 479;164 987;95 395;474 032
JAPAN;Tokyo;4 511;5 623;6 152;6 118;22 404
JAPAN Summa;;4 511;5 623;6 152;6 118;22 404
JORDAN;Amman;3 306;3 619;4 962;3 703;15 590
JORDAN Summa;;3 306;3 619;4 962;3 703;15 590
KOSOVO;Pristina;5 559;11 419;16 132;6 599;39 709
KOSOVO Summa;;5 559;11 419;16 132;6 599;39 709
LATVIA;Riga;35 657;54 067;51 554;41 685;182 963
LATVIA;(tom);;;;;
LATVIA Summa;;35 657;54 067;51 554;41 685;182 963
LEBANON;Beirut;;1 481;5 361;3 539;10 381
LEBANON Summa;;;1 481;5 361;3 539;10 381
LITHUANIA;Kaunas;7 618;12 929;13 174;9 484;43 205
LITHUANIA;VILNIUS;13 836;19 787;17 770;15 254;66 647
LITHUANIA Summa;;21 454;32 716;30 944;24 738;109 852
LUXEMBOURG;Luxembourg;1 389;2 211;2 880;2 076;8 556
LUXEMBOURG Summa;;1 389;2 211;2 880;2 076;8 556
MACEDONIA;Skopje;14 994;15 591;14 567;22 660;67 812
MACEDONIA Summa;;14 994;15 591;14 567;22 660;67 812
MALTA;Valetta;4 395;9 681;9 492;12 237;35 805
MALTA Summa;;4 395;9 681;9 492;12 237;35 805
MEXICO;Cancun;1 598;0;;592;2 190
MEXICO Summa;;1 598;0;;592;2 190
MONTENEGRO;TIVAT;;342;2 407;;2 749
MONTENEGRO Summa;;;342;2 407;;2 749
MOROCCO;Agadir;3 099;;;1 436;4 535
MOROCCO;Marrakech;8 264;7 259;4 948;8 271;28 742
